Temperature (F),Ice-cream Price ($),Number of Tourists (thousands),"Ice Cream Sales ($,thousands)",Did it rain on that day?,Drownings
80.6,1,89.5,90,No,9
75.2,1,86.4,85,No,9
86,2,99.2,107,No,11
75.2,2,72.4,71,Yes,7
60.8,2,71.2,65,Yes,7
68,2,71,69,Yes,7
71.6,1.25,78,67,Yes,7
66.2,1.5,74.3,70,Yes,7
60.8,1.5,69.4,65,Yes,7
78.8,1.5,82.5,81,Yes,8
78.8,1.5,75.2,73,Yes,7
62.6,1,70.3,64,Yes,6
75.2,1,88.6,89,Yes,9
75.2,1,74.5,79,Yes,8
69.8,0.75,71.1,66,Yes,7
64.4,0.75,52.1,53,Yes,5
71.6,0.75,88.4,75,Yes,8
86,0.75,95.2,99,No,9
78.8,2,81.9,81,No,8
77,2,87.9,88,No,9
